base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
174255801652,1636468748,21000,186000000000,21000,186000000000,186000000000,11744198348
,1620171468,21000,55000000000,21000,,,
,1622578247,21000,36000000000,21000,,,
,1621480628,21000,117000000000,21000,,,
99576752081,1637885644,21000,101076752081,21000,117536822999,1500000000,1500000000
181111529658,1637918007,21000,213047265864,21000,275093589384,31935736206,31935736206
20678596121,1629376811,21000,24000000000,21000,24000000000,24000000000,3321403879
183528177350,1641887667,21000,185028177350,21000,205346634705,1500000000,1500000000
53207822707,1643636423,21000,54707822707,21000,87207701618,1500000000,1500000000
81649139889,1630747983,21000,90000000000,21000,90000000000,90000000000,8350860111
177309675069,1636658451,21000,178809675069,21000,251835396639,1500000000,1500000000
159897787095,1641934300,21000,161397787095,21000,171994695072,1500000000,1500000000
287993058838,1636421135,21000,289993058838,21000,353525046050,2000000000,2000000000
104671859067,1637925667,21000,106171859067,21000,165425678800,1500000000,1500000000
33718493620,1629408698,21000,56000000000,21000,,,
128280624806,1636654881,21000,129792678151,21000,180620533380,1512053345,1512053345
69162488975,1634022477,21000,71102488975,21000,91224004567,1940000000,1940000000
,1618153941,21000,77000000000,21000,,,
,1621534123,21000,111000000000,21000,,,
,1621518432,21000,153000000000,21000,,,
,1618743331,21000,134000000000,21000,,,
55209855556,1631379721,21000,61000000000,21000,,,
183217625859,1636490893,21000,184717625859,21000,213538937121,1500000000,1500000000
,1616046516,25200,144100000000,21000,,,
,1618272108,21000,79000000000,21000,,,
102318203281,1637945170,21000,103818203281,21000,130096460420,1500000000,1500000000
141283058797,1641909752,21000,142783058797,21000,183085941530,1500000000,1500000000
150100604153,1636687389,21000,151600604153,21000,154992545556,1500000000,1500000000
,1618182206,21000,62000000000,21000,,,
,1621475260,21000,230000000000,21000,,,
,1621534341,21000,100000000000,21000,,,
105255861376,1637895366,21000,106755861376,21000,125375668868,1500000000,1500000000
189153859858,1641930673,21000,190653859858,21000,293289746524,1500000000,1500000000
101681477427,1636715977,21000,140000000000,21000,140000000000,140000000000,38318522573
145102140178,1641914004,21000,146602140178,21000,147540927050,1500000000,1500000000
91590963804,1637930673,21000,93090963804,21000,101934088884,1500000000,1500000000
95100609092,1637963961,21000,96600609092,21000,102941870007,1500000000,1500000000
,1622889190,21000,15000000000,21000,,,
59842310251,1632192408,21000,65000000000,21000,65000000000,65000000000,5157689749
,1618176515,21000,63000000000,21000,,,
70283444321,1637930928,21000,74878247095,21000,,,
90406727499,1637897964,21000,92232073499,21000,123008088172,1825346000,1825346000
119153163942,1630769414,21000,123153163942,21000,182818941094,4000000000,4000000000
144389881135,1636615868,21000,145889881135,21000,151593520900,1500000000,1500000000
173962298748,1637915430,21000,175242863066,21000,175242863066,1500000000,1280564318
207817197260,1636423054,21000,280000000000,21000,280000000000,280000000000,72182802740
51238457268,1632627900,21000,52738457268,21000,78980700869,1500000000,1500000000
106686207984,1637929556,21000,108206670100,21000,144472406865,1520462116,1520462116
109784263496,1637893929,21000,111284263496,21000,137106975366,1500000000,1500000000
185315661126,1641931287,21000,186815661126,21000,215917586749,1500000000,1500000000
41225626999,1632656182,21000,43000000000,21000,43000000000,43000000000,1774373001
,1621495941,21000,88000000000,21000,,,
,1625435406,21000,5000000000,21000,,,
,1625435406,21000,5000000000,21000,,,
35735047932,1632212863,21000,38000000000,21000,38000000000,38000000000,2264952068
,1618158513,21000,83000000000,21000,,,
,1618168175,21000,80000000000,21000,,,
,1618319878,21000,97000000000,21000,,,
54568241821,1630114489,21000,69000000000,21000,69000000000,69000000000,14431758179
145988638630,1636726918,21000,147488638630,21000,156431963892,1500000000,1500000000
154956057284,1636632211,21000,173000000000,21000,173000000000,173000000000,18043942716
197614023762,1636652656,21000,199114023762,21000,241386016444,1500000000,1500000000
,1618346781,21000,91000000000,21000,,,
,1621497410,21000,81000000000,21000,,,
73004517105,1637907648,21000,74504517105,21000,96095324493,1500000000,1500000000
,1624310904,90000,29700000000,21000,,,
131097969831,1641897546,21000,132597969831,21000,146491225998,1500000000,1500000000
127359518499,1641886743,21000,128859518499,21000,129391088483,1500000000,1500000000
66374872451,1631343264,21000,68200218451,21000,98176638858,1825346000,1825346000
110374573568,1634047673,21000,111874573568,21000,123496655636,1500000000,1500000000
,1618296213,21000,69300000000,21000,,,
,1621492433,21000,86000000000,21000,,,
,1621487177,21000,91201100000,21000,,,
,1621482292,21000,121000000000,21000,,,
131956146202,1637949734,21000,133456146202,21000,143801411763,1500000000,1500000000
35154408822,1629403678,21000,40065611302,21000,53239518029,4911202480,4911202480
173014390717,1630771080,21000,183532397530,21000,265513612581,10518006813,10518006813
,1618332616,21000,166800000000,21000,,,
78267499036,1637937954,21000,80207499036,21000,81524374174,1940000000,1940000000
125695091638,1637935159,21000,127195091638,21000,137200054800,1500000000,1500000000
112398283766,1641906985,21000,113898283766,21000,151223259192,1500000000,1500000000
165805905721,1641909903,21000,167305905721,21000,208542066278,1500000000,1500000000
,1618146411,21000,87000000000,21000,,,
111510086600,1637922274,21000,113450086600,21000,167672928760,1940000000,1940000000
105548954011,1637952577,21000,107048954011,21000,124497587141,1500000000,1500000000
110138448543,1637950381,21000,111638448543,21000,200000000000,1500000000,1500000000
114567568906,1637967674,21000,116067568906,21000,118248099029,1500000000,1500000000
119508889074,1637961347,21000,121226357125,21000,162576971846,1717468051,1717468051
191715567853,1636683571,21000,193215567853,21000,288195172509,1500000000,1500000000
,1620111578,21000,37000000000,21000,,,
106802351340,1637958480,21000,108302351340,21000,144609621576,1500000000,1500000000
163453694343,1636616072,21000,164953694343,21000,180282818578,1500000000,1500000000
48765974705,1631368957,21000,54000000000,21000,54000000000,54000000000,5234025295
,1621498510,21000,89000000000,21000,,,
62300906129,1632206536,21000,68000000000,21000,68000000000,68000000000,5699093871
97274611432,1637898971,21000,98774611432,21000,115995280353,1500000000,1500000000
94182550814,1637937788,21000,95682550814,21000,101975509630,1500000000,1500000000
,1622899764,21000,13000000000,21000,,,
96113973938,1645284416,21000,97613973938,21000,116457496747,1500000000,1500000000
,1618182118,25200,67106710000,21000,,,
174244730159,1641915573,21000,175744730159,21000,201172845480,1500000000,1500000000
46341162187,1632699612,21000,49000000000,21000,49000000000,49000000000,2658837813
239128065452,1636423103,21000,240628065452,21000,269024742010,1500000000,1500000000
,1618167446,21000,90000000000,21000,,,
,1618141311,21000,70000000000,21000,,,
,1618715100,21000,92000000000,21000,,,
,1621493619,21000,88000000000,21000,,,
,1624274142,22000,87000000000,21000,,,
166024594884,1643662043,21000,167524594884,21000,212326133639,1500000000,1500000000
38439978566,1645250636,21000,39939978566,21000,41836098085,1500000000,1500000000
52130158309,1630183382,21000,55000000000,21000,55000000000,55000000000,2869841691
68226186967,1632650425,21000,69726186967,21000,81311567877,1500000000,1500000000
,1620119686,21000,39000000000,21000,,,
105754870230,1637963056,21000,107525455850,21000,137449661138,1770585620,1770585620
35566845719,1645269578,21000,37000000000,21000,37000000000,2000000000,1433154281
121682620092,1637967527,21000,123182620092,21000,145182779298,1500000000,1500000000
70413386507,1637934572,21000,71913386507,21000,113611088441,1500000000,1500000000
,1623209202,22000,38000000000,21000,,,
,1624242865,21000,21000000000,21000,,,
,1618102142,21000,112000000000,21000,,,
115097575453,1637914108,21000,116597575453,21000,124600463068,1500000000,1500000000
,1622885012,21000,14000000000,21000,,,
134846415170,1641913708,21000,136346415170,21000,147229144038,1500000000,1500000000
,1618176482,21000,63100000000,21000,,,
,1618358326,21000,87000000000,21000,,,
,1622584916,21000,39000000000,21000,,,
102938402391,1637959137,21000,104438402391,21000,110549306410,1500000000,1500000000
,1624271259,21000,25000000000,21000,,,
57622276799,1632267175,21000,84000000000,21000,84000000000,84000000000,26377723201
136394256250,1636630969,21000,138098046365,21000,143282841478,1703790115,1703790115
,1618294140,21000,69000000000,21000,,,
,1622533019,21000,18000000000,21000,,,
,1621496394,21000,79000000000,21000,,,
66718375735,1643631288,21000,68218375735,21000,76530300987,1500000000,1500000000
,1618178131,21000,63100000000,21000,,,
,1622877984,22000,36000000000,21000,,,
24325313976,1629413984,21000,29325313976,21000,39600317109,5000000000,5000000000
198940420514,1641868902,21000,200440420514,21000,252254643638,1500000000,1500000000
,1618133977,21000,81000000000,21000,,,
,1618105581,21000,69000000000,21000,,,
85052444106,1637889275,21000,86552444106,21000,98519489902,1500000000,1500000000
,1624265062,21000,35000000000,21000,,,
38630619837,1632617044,21000,45000000000,21000,45000000000,45000000000,6369380163
78324649758,1634067623,21000,79824649758,21000,122261978098,1500000000,1500000000
71675743897,1634030310,21000,93000000000,21000,93000000000,93000000000,21324256103
,1620127104,21000,36000001459,21000,,,
,1618176968,21000,63100000000,21000,,,
,1618136853,21000,78000000000,21000,,,
,1618107224,21000,66304614496,21000,,,
,1618136087,21000,68000000000,21000,,,
,1621474301,21000,385000000000,21000,,,
87681937704,1637946373,21000,89181937704,21000,107577395284,1500000000,1500000000
118533246970,1637941951,21000,120033246970,21000,120953466351,1500000000,1500000000
,1625371659,21000,5000000000,21000,,,
,1624236925,21000,8000000000,21000,,,
49889115670,1645277839,21000,50877533105,21000,50877533105,1500000000,988417435
,1618144012,21000,65000000000,21000,,,
