base_fee_per_gas,block_time,gas_limit,gas_price,gas_used,max_fee_per_gas,max_priority_fee_per_gas,priority_fee_per_gas
129777943378,1643997229,67622,131277943378,67622,180132632980,1500000000,1500000000
36715604063,1644915339,54296,38715604063,49496,61653444528,2000000000,2000000000
106979400789,1643989815,54861,109479400789,54861,231276327692,2500000000,2500000000
91854041233,1641655072,60838,93354041233,60838,122446791099,1500000000,1500000000
77843107473,1641655454,60850,79343107473,60850,95915868714,1500000000,1500000000
33837887932,1648217815,319741,35337887932,319741,39870119740,1500000000,1500000000
26919496778,1649934282,55705,28419496778,50905,31411561683,1500000000,1500000000
137536484513,1642196586,60862,139036484513,56062,176184049663,1500000000,1500000000
30587082582,1648207166,67634,32087082582,67634,45935343609,1500000000,1500000000
26657888545,1649905625,60850,28157888545,56050,38629507739,1500000000,1500000000
119515658191,1642188397,55693,121015658191,50893,208587120378,1500000000,1500000000
127934056930,1642141856,320785,129434056930,320785,133354097964,1500000000,1500000000
41725907429,1649973737,67634,42634856263,62834,42634856263,1410000000,908948834
32784471855,1649909892,67634,34284471855,67634,40421151282,1500000000,1500000000
63078528789,1643977097,337496,64578528789,337496,81612894970,1500000000,1500000000
113331063632,1642146924,60862,114831063632,56062,125000000000,1500000000,1500000000
72335453154,1641645101,60862,73835453154,56062,84111628400,1500000000,1500000000
103041306915,1642173912,319785,105000000000,319785,105000000000,2000000000,1958693085
34205165176,1649897126,340663,35705165176,340663,40908699370,1500000000,1500000000
34205165176,1649897126,340081,35705165176,340081,40908699370,1500000000,1500000000
73356161333,1649952224,55580,74856161333,55580,101361273385,1500000000,1500000000
50024233635,1649894428,59970,51524233635,55170,60836167019,1500000000,1500000000
67931853745,1644954404,67646,69431853745,62846,70447343862,1500000000,1500000000
90584513573,1641624394,67646,92084513573,67646,111947726299,1500000000,1500000000
76592013835,1641627451,54896,77000000000,50096,77000000000,1000000000,407986165
84777320679,1649960620,67722,86277320679,62922,123020071269,1500000000,1500000000
74235696486,1641622576,64741,79235696486,59941,115995020624,5000000000,5000000000
40141890259,1648219565,67634,41641890259,62834,48130365953,1500000000,1500000000
86741992558,1641644748,60850,88241992558,56050,97636410979,1500000000,1500000000
181058868804,1642179458,67622,182558868804,67622,186695255757,1500000000,1500000000
198101256054,1642180064,67634,199601256054,67634,211523486420,1500000000,1500000000
116423335123,1642193036,60862,117923335123,56062,173159352064,1500000000,1500000000
186859025231,1642198356,67634,188359025231,62834,236409836665,1500000000,1500000000
54290511625,1649959426,60862,55790511625,56062,71981751572,1500000000,1500000000
66931233535,1643957226,60850,68431233535,56050,84300991829,1500000000,1500000000
96897851518,1641613747,322915,98397851518,322915,104236990819,1500000000,1500000000
137527953696,1641675993,316600,139027953696,316600,153479030842,1500000000,1500000000
153539338908,1642181403,60850,154949338908,56050,155700689674,1410000000,1410000000
24292327302,1648194930,56604,25792327302,51804,26634734642,1500000000,1500000000
47438489243,1649971306,60862,48938489243,56062,60145671289,1500000000,1500000000
132906718123,1641669237,333708,134556718123,333708,135000000000,1650000000,1650000000
172725661835,1642202558,122041,174225661835,122041,207065645657,1500000000,1500000000
92281636581,1641623808,54860,92661881624,54860,92661881624,1500000000,380245043
155228739337,1642191971,66730,156570080613,66730,156570080613,1500000000,1341341276
207734077456,1641658387,330477,209234077456,330477,262576592899,1500000000,1500000000
42925172252,1649915120,338344,44925172252,338344,57938163873,2000000000,2000000000
517409926497,1642120652,67646,519669027397,62846,642305611439,2259100900,2259100900
147114212577,1642175032,48579,148614212577,48579,189208877459,1500000000,1500000000
180227493794,1642186421,320402,181727493794,320402,213489041194,1500000000,1500000000
61144725543,1643972217,62139,62644725543,57339,84970511817,1500000000,1500000000
115655527184,1642154704,313395,117155527184,313395,117557982358,1500000000,1500000000
140647741177,1642140193,59970,142147741177,55170,148279183702,1500000000,1500000000
117748058442,1642161588,52842,119248058442,48042,126067195732,1500000000,1500000000
101140502028,1641618829,317326,102640502028,317326,136636228649,1500000000,1500000000
101140502028,1641618829,55592,102640502028,55592,140125869370,1500000000,1500000000
37042985300,1649978794,323580,38542985300,323580,41587341963,1500000000,1500000000
23765765567,1649927184,52396,25265765567,42796,31626660059,1500000000,1500000000
205224017190,1641665144,60862,206724017190,56062,229527294934,1500000000,1500000000
133215370530,1642174110,60850,163000000000,60850,,,
142872132663,1642146193,330002,144372132663,330002,174613560990,1500000000,1500000000
169541054258,1642193392,60850,171041054258,56050,208768877773,1500000000,1500000000
182366145764,1642127551,67646,184366145764,62846,271132608374,2000000000,2000000000
22528981065,1649928474,48627,24028981065,43827,35139448719,1500000000,1500000000
52442480444,1649969037,67646,54442480444,62846,68795789799,2000000000,2000000000
22136452627,1649930490,52928,23636452627,48128,34000000000,1500000000,1500000000
122710639038,1642158486,60850,124210639038,56050,191807959154,1500000000,1500000000
331698262290,1642176411,67646,333780692302,62846,396083642078,2082430012,2082430012
28210545107,1649940369,343221,29710545107,343221,38196607563,1500000000,1500000000
95667912944,1643992494,55612,97167912944,55612,129425907525,1500000000,1500000000
95667912944,1643992494,55648,98167912944,55648,197841126254,2500000000,2500000000
48147133511,1644892743,67634,49647133511,67634,52851842442,1500000000,1500000000
37492238274,1644917880,55705,38992238274,50905,54155583327,1500000000,1500000000
74337684985,1641651698,64741,75837684985,59941,93615788937,1500000000,1500000000
427923186543,1642119923,60862,430228391543,56062,500000000000,2305205000,2305205000
151194995965,1642128953,60850,152694995965,60850,251447734212,1500000000,1500000000
48501172589,1648237611,319777,51000000000,319777,51000000000,3300000000,2498827411
61232874158,1649979273,63188,62732874158,63188,110373573272,1500000000,1500000000
97791211537,1643987629,319939,99291211537,319939,138870141650,1500000000,1500000000
117074366058,1641683688,67634,128574366058,67634,158643661017,11500000000,11500000000
24196844315,1648170773,317288,25000000000,317288,25000000000,1000000000,803155685
155321412802,1642131528,55693,156821412802,50893,175271851397,1500000000,1500000000
52831513452,1649970784,55680,54331513452,50880,68110640975,1500000000,1500000000
50596375439,1649965685,330511,52096375439,330511,72635016970,1500000000,1500000000
107241998756,1642159636,66766,108741998756,61966,156898476193,1500000000,1500000000
43121125249,1648244616,323050,44621125249,323050,49069468318,1500000000,1500000000
254281028496,1642124412,54322,255781028496,54322,256981249602,1500000000,1500000000
68724104919,1649955463,49583,70224104919,49583,88709602908,1500000000,1500000000
30096401965,1649907714,333684,32096401965,245009,40100271681,2000000000,2000000000
66236121345,1649946459,55717,68236121345,50917,88391317725,2000000000,2000000000
131163705730,1642148931,316590,132663705730,316590,154972701820,1500000000,1500000000
160867568103,1641674278,60862,162367568103,56062,228413054890,1500000000,1500000000
150893281304,1642184082,49507,152393281304,44707,191091124088,1500000000,1500000000
430501468297,1642120776,54836,432563288693,54836,511070866979,2061820396,2061820396
180226548674,1642204460,54969,181726548674,50169,196002556037,1500000000,1500000000
91997795987,1643955006,60850,93497795987,56050,115024462802,1500000000,1500000000
85347288267,1641605050,319799,86847288267,319799,109471485425,1500000000,1500000000
32564775304,1649977856,336865,34064775304,336865,36000000000,1500000000,1500000000
50647862760,1643971303,330507,52147862760,330507,80372001859,1500000000,1500000000
59574185074,1643963268,54861,62074185074,54861,123272642552,2500000000,2500000000
161881195210,1642183332,55648,164381195210,55648,356841048464,2500000000,2500000000
167868301603,1642142382,67646,169368301603,62846,219318700878,1500000000,1500000000
168031111234,1642173522,55592,169531111234,50792,215166932935,1500000000,1500000000
168031111234,1642173522,55648,170531111234,55648,301235781574,2500000000,2500000000
64162716024,1649957398,55592,65662716024,50792,70938464310,1500000000,1500000000
78409177543,1644956816,55804,80409177543,55804,95008419007,2000000000,2000000000
254349156390,1642169461,305945,256190953285,305945,259677665690,1841796895,1841796895
41076289279,1644921867,55636,42576289279,50836,52968568680,1500000000,1500000000
137176763216,1642196232,49483,138676763216,44683,188551174188,1500000000,1500000000
156882241143,1642174060,339999,158532241143,339999,173423234258,1650000000,1650000000
173084440803,1642176839,60850,174584440803,60850,185319550747,1500000000,1500000000
182145878429,1642178317,55644,183645878429,55644,240406390525,1500000000,1500000000
27487057329,1649929246,55717,28987057329,50917,31607643589,1500000000,1500000000
27487057329,1649929246,48579,28987057329,48579,31607643589,1500000000,1500000000
130870258654,1641683183,66802,132370258654,62002,143167472054,1500000000,1500000000
45695535207,1649950570,60950,47195535207,56150,61173608524,1500000000,1500000000
91567639702,1641652779,331141,93067639702,331141,137968255137,1500000000,1500000000
155329512594,1642153279,60850,156829512594,56050,198267791397,1500000000,1500000000
249503747189,1642125641,60862,251003747189,56062,260714221640,1500000000,1500000000
169916789075,1642139033,60838,171135705492,56038,171135705492,1410000000,1218916417
122608429046,1642189597,337514,124108429046,337514,156138803293,1500000000,1500000000
203393956394,1642177199,60850,204893956394,56050,263482237509,1500000000,1500000000
